rodada,data,hora,local,casa,fora,gols_casa,gols_fora
30,22/10/2017,17:00,Vila Belmiro - Santos - SP,SAN,ATL,1,0
30,22/10/2017,19:00,Moisés Lucarelli - Campinas - SP,PON,AVA,1,2
30,22/10/2017,19:00,Arena Condá - Chapeco - SC,CHA,FLU,2,0
30,23/10/2017,20:00,Nilton Santos - Rio de Janeiro - RJ,BOT,COR,2,1
31,28/10/2017,17:00,Pacaembu - Sao Paulo - SP,SAO,SAN,2,1
31,28/10/2017,19:00,Maracanã - Rio de Janeiro - RJ,FLA,VAS,0,0
31,28/10/2017,21:00,Arena da Baixada - Curitiba - PR,ATL,CHA,0,0
31,29/10/2017,17:00,Maracanã - Rio de Janeiro - RJ,FLU,BAH,1,1
31,29/10/2017,17:00,Independência - Belo Horizonte - MG,ATL,BOT,0,0
31,29/10/2017,17:00,Moisés Lucarelli - Campinas - SP,PON,COR,1,0
31,29/10/2017,18:00,Ilha do Retiro - Recife - PE,SPO,COR,3,4
31,29/10/2017,18:00,Manoel Barradas - Salvador - BA,VIT,ATL,1,1
31,29/10/2017,19:00,Ressacada - Florianopolis - SC,AVA,GRE,2,2
31,30/10/2017,20:00,Allianz Parque - Sao Paulo - SP,PAL,CRU,2,2
32,04/11/2017,17:00,Vila Belmiro - Santos - SP,SAN,ATL,3,1
32,04/11/2017,19:00,Nilton Santos - Rio de Janeiro - RJ,BOT,FLU,1,2
32,04/11/2017,19:00,Serra Dourada - Goiania - GO,ATL,SAO,0,1
32,04/11/2017,21:00,Couto Pereira - Curitiba - PR,COR,AVA,4,0
32,05/11/2017,17:00,Arena Corinthians - Sao Paulo - SP,COR,PAL,3,2
32,05/11/2017,17:00,Arena do Grêmio - Porto Alegre - RS,GRE,FLA,3,1
32,05/11/2017,17:00,Mineirão - Belo Horizonte - MG,CRU,ATL,1,0
32,05/11/2017,18:00,Arena Fonte Nova - Salvador - BA,BAH,PON,2,0
32,05/11/2017,19:00,Arena Condá - Chapeco - SC,CHA,SPO,1,1
